Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,Acceleration,Steering,Throttle
0.298,-3490.00,-9330.00,55.87,320797.7602,4039142.5139,52,0.29,0.0000,0.9862,1.0000,0.0000
0.387,-3490.00,-9330.00,54.51,320797.7602,4039142.5139,52,1.47,0.0000,4.0992,1.0000,0.0000
0.459,-3490.00,-9330.00,52.06,320797.7602,4039142.5139,52,2.64,0.0000,4.5339,1.0000,0.0000
0.507,-3490.00,-9330.00,48.52,320797.7602,4039142.5139,52,3.82,0.0000,5.6763,1.0000,0.0000
0.544,-3490.00,-9330.00,43.90,320797.7602,4039142.5139,52,4.99,0.0000,8.1305,1.0000,0.0000
0.607,-3490.00,-9330.00,31.39,320797.7602,4039142.5139,52,7.34,0.0000,21.9979,1.0000,0.0000
0.703,-3487.24,-9330.00,14.63,320797.7877,4039142.5139,52,6.91,0.0012,-4.1670,1.0000,0.0000
0.803,-3473.85,-9329.97,8.53,320797.9217,4039142.5136,52,6.74,0.0132,-1.7226,1.0000,0.0000
0.908,-3449.60,-9329.90,15.70,320798.1642,4039142.5130,52,10.96,0.0382,39.0680,1.0000,0.0000
1.012,-3418.02,-9329.80,22.41,320798.4799,4039142.5119,52,13.75,0.0700,24.9382,1.0000,0.0000
1.105,-3386.52,-9329.67,24.06,320798.7950,4039142.5106,52,16.40,0.1016,25.3132,1.0000,0.0000
1.208,-3334.22,-9329.45,21.62,320799.3180,4039142.5084,52,20.55,0.1519,38.2586,1.0000,0.0000
1.311,-3278.24,-9329.17,18.69,320799.8778,4039142.5056,52,24.09,0.2016,31.8487,1.0000,0.0000
1.401,-3222.98,-9328.86,17.70,320800.4304,4039142.5025,52,27.22,0.2461,30.9521,1.0000,0.0000
1.507,-3144.99,-9328.36,18.40,320801.2103,4039142.4976,52,31.25,0.3033,37.5745,1.0000,0.0000
1.607,-3061.87,-9327.78,19.68,320802.0415,4039142.4917,52,35.09,0.3573,35.9250,1.0000,0.0000
1.711,-2961.98,-9327.00,20.40,320803.0404,4039142.4839,52,39.31,0.4144,38.1921,1.0000,0.0000
1.811,-2852.82,-9326.07,20.19,320804.1320,4039142.4746,52,43.54,0.4683,38.1164,1.0000,0.0000
1.905,-2744.17,-9325.07,19.70,320805.2185,4039142.4646,52,47.44,0.5147,37.0862,1.0000,0.0000
2.003,-2618.09,-9323.82,19.42,320806.4792,4039142.4521,52,51.66,0.5613,40.8541,1.0000,0.0000
2.102,-2486.43,-9322.43,19.54,320807.7959,4039142.4382,52,55.79,0.6027,40.5671,1.0000,0.0000
2.206,-2335.38,-9320.75,19.86,320809.3064,4039142.4214,52,60.14,0.6429,41.0177,1.0000,0.0000
2.302,-2171.62,-9318.84,20.03,320810.9440,4039142.4023,52,64.40,0.6790,41.6699,1.0000,0.0000
2.404,-2005.89,-9316.82,19.99,320812.6013,4039142.3821,52,68.34,0.7091,37.7771,1.0000,0.0000
2.504,-1823.40,-9314.51,19.89,320814.4261,4039142.3590,52,72.30,0.7361,38.0161,1.0000,0.0000
2.609,-1626.66,-9311.94,19.84,320816.3936,4039142.3334,52,76.22,0.7594,35.9324,1.0000,0.0000
2.711,-1426.79,-9309.27,19.90,320818.3923,4039142.3066,52,79.89,0.7779,33.1832,1.0000,0.0000
2.803,-1235.32,-9306.66,19.96,320820.3069,4039142.2805,52,83.15,0.7918,31.5925,1.0000,0.0000
2.905,-1017.92,-9303.65,19.96,320822.4810,4039142.2504,52,86.24,0.8038,29.4555,1.0000,0.0000
3.006,-796.61,-9300.54,19.83,320824.6941,4039142.2193,52,86.09,0.8124,-1.3356,1.0000,0.0000
3.109,-568.56,-9297.31,19.53,320826.9746,4039142.1870,52,85.95,0.8185,-1.3402,1.0000,0.0000
3.207,-369.47,-9294.47,19.37,320828.9655,4039142.1586,52,87.83,0.8223,17.6778,1.0000,0.0000
3.304,-141.39,-9291.20,19.43,320831.2462,4039142.1259,52,90.01,0.8252,20.8707,1.0000,0.0000
3.408,62.40,-9288.26,19.70,320833.2841,4039142.0966,52,91.95,0.8270,18.0591,1.0000,0.0000
3.508,303.32,-9284.79,20.04,320835.6934,4039142.0618,52,94.22,0.8281,21.0669,1.0000,0.0000
3.602,536.73,-9281.42,20.09,320838.0275,4039142.0281,52,96.38,0.8285,21.0906,1.0000,0.0000
3.708,781.29,-9277.89,19.96,320840.4731,4039141.9928,52,98.59,0.8288,20.5015,1.0000,0.0000
3.808,1037.39,-9274.19,19.77,320843.0341,4039141.9558,52,100.83,0.8289,20.8560,1.0000,0.0000
3.908,1277.45,-9270.72,19.73,320845.4347,4039141.9212,52,102.88,0.8281,18.9980,1.0000,0.0000
